Team,Points,Year
RED BULL RACING HONDA RBPT,249.0,2023
ASTON MARTIN ARAMCO MERCEDES,120.0,2023
MERCEDES,119.0,2023
FERRARI,90.0,2023
ALPINE RENAULT,35.0,2023
MCLAREN MERCEDES,17.0,2023
HAAS FERRARI,8.0,2023
ALFA ROMEO FERRARI,6.0,2023
ALPHATAURI HONDA RBPT,2.0,2023
WILLIAMS MERCEDES,1.0,2023
FERRARI,157.0,2022
RED BULL RACING RBPT,151.0,2022
MERCEDES,95.0,2022
MCLAREN MERCEDES,46.0,2022
ALFA ROMEO FERRARI,31.0,2022
ALPINE RENAULT,26.0,2022
ALPHATAURI RBPT,16.0,2022
HAAS FERRARI,15.0,2022
ASTON MARTIN ARAMCO MERCEDES,6.0,2022
WILLIAMS MERCEDES,3.0,2022
MERCEDES,101.0,2021
RED BULL RACING HONDA,83.0,2021
MCLAREN MERCEDES,53.0,2021
FERRARI,42.0,2021
WILLIAMS MERCEDES,23.0,2021
ALPINE RENAULT,13.0,2021
ALPHATAURI HONDA,9.0,2021
ASTON MARTIN MERCEDES,5.0,2021
ALFA ROMEO RACING FERRARI,0.0,2021
HAAS FERRARI,0.0,2021
MERCEDES,180.0,2020
RED BULL RACING HONDA,113.0,2020
FERRARI,55.0,2020
MCLAREN RENAULT,53.0,2020
RACING POINT BWT MERCEDES,41.0,2020
RENAULT,36.0,2020
ALPHATAURI HONDA,14.0,2020
ALFA ROMEO RACING FERRARI,2.0,2020
HAAS FERRARI,1.0,2020
WILLIAMS MERCEDES,0.0,2020
MERCEDES,173.0,2019
FERRARI,99.0,2019
RED BULL RACING HONDA,59.0,2019
MCLAREN RENAULT,18.0,2019
RACING POINT BWT MERCEDES,17.0,2019
ALFA ROMEO RACING FERRARI,13.0,2019
RENAULT,12.0,2019
HAAS FERRARI,8.0,2019
SCUDERIA TORO ROSSO HONDA,4.0,2019
WILLIAMS MERCEDES,0.0,2019
FERRARI,114.0,2018
MERCEDES,110.0,2018
RED BULL RACING TAG HEUER,55.0,2018
RENAULT,35.0,2018
MCLAREN RENAULT,34.0,2018
SCUDERIA TORO ROSSO HONDA,13.0,2018
HAAS FERRARI,11.0,2018
SAUBER FERRARI,10.0,2018
WILLIAMS MERCEDES,4.0,2018
FORCE INDIA MERCEDES,0.0,2018
FORCE INDIA SAHARA,0.0,2018
MERCEDES,136.0,2017
FERRARI,135.0,2017
RED BULL RACING TAG HEUER,57.0,2017
FORCE INDIA MERCEDES,31.0,2017
WILLIAMS MERCEDES,18.0,2017
TORO ROSSO,13.0,2017
HAAS FERRARI,8.0,2017
RENAULT,6.0,2017
MCLAREN HONDA,0.0,2017
SAUBER FERRARI,0.0,2017
MERCEDES,157.0,2016
FERRARI,76.0,2016
RED BULL RACING TAG HEUER,57.0,2016
WILLIAMS MERCEDES,51.0,2016
HAAS FERRARI,22.0,2016
TORO ROSSO FERRARI,17.0,2016
MCLAREN HONDA,10.0,2016
FORCE INDIA MERCEDES,8.0,2016
RENAULT,6.0,2016
SAUBER FERRARI,0.0,2016
MRT MERCEDES,0.0,2016
MERCEDES,159.0,2015
FERRARI,107.0,2015
WILLIAMS MERCEDES,61.0,2015
RED BULL RACING RENAULT,23.0,2015
SAUBER FERRARI,19.0,2015
FORCE INDIA MERCEDES,13.0,2015
LOTUS MERCEDES,12.0,2015
STR RENAULT,12.0,2015
MCLAREN HONDA,0.0,2015
MARUSSIA FERRARI,0.0,2015
MERCEDES,154.0,2014
RED BULL RACING RENAULT,57.0,2014
FORCE INDIA MERCEDES,54.0,2014
FERRARI,52.0,2014
MCLAREN MERCEDES,43.0,2014
WILLIAMS MERCEDES,36.0,2014
STR RENAULT,8.0,2014
LOTUS RENAULT,0.0,2014
MARUSSIA FERRARI,0.0,2014
SAUBER FERRARI,0.0,2014
CATERHAM RENAULT,0.0,2014
RED BULL RACING RENAULT,109.0,2013
LOTUS RENAULT,93.0,2013
FERRARI,77.0,2013
MERCEDES,64.0,2013
FORCE INDIA MERCEDES,26.0,2013
MCLAREN MERCEDES,23.0,2013
STR FERRARI,7.0,2013
SAUBER FERRARI,5.0,2013
WILLIAMS RENAULT,0.0,2013
MARUSSIA COSWORTH,0.0,2013
CATERHAM RENAULT,0.0,2013
RED BULL RACING RENAULT,101.0,2012
MCLAREN MERCEDES,92.0,2012
LOTUS RENAULT,57.0,2012
FERRARI,45.0,2012
MERCEDES,37.0,2012
SAUBER FERRARI,31.0,2012
WILLIAMS RENAULT,18.0,2012
FORCE INDIA MERCEDES,17.0,2012
STR FERRARI,6.0,2012
CATERHAM RENAULT,0.0,2012
MARUSSIA COSWORTH,0.0,2012
HRT COSWORTH,0.0,2012
RED BULL RACING RENAULT,148.0,2011
MCLAREN MERCEDES,105.0,2011
FERRARI,65.0,2011
RENAULT,42.0,2011
MERCEDES,26.0,2011
SAUBER FERRARI,8.0,2011
STR FERRARI,6.0,2011
FORCE INDIA MERCEDES,4.0,2011
WILLIAMS COSWORTH,0.0,2011
LOTUS RENAULT,0.0,2011
HRT COSWORTH,0.0,2011
VIRGIN COSWORTH,0.0,2011
MCLAREN MERCEDES,109.0,2010
FERRARI,90.0,2010
RBR RENAULT,73.0,2010
MERCEDES,60.0,2010
RENAULT,46.0,2010
FORCE INDIA MERCEDES,18.0,2010
WILLIAMS COSWORTH,6.0,2010
STR FERRARI,2.0,2010
SAUBER FERRARI,0.0,2010
LOTUS COSWORTH,0.0,2010
HRT COSWORTH,0.0,2010
VIRGIN COSWORTH,0.0,2010
BRAWN MERCEDES,50.0,2009
RBR RENAULT,27.5,2009
TOYOTA,26.5,2009
MCLAREN MERCEDES,13.0,2009
RENAULT,5.0,2009
SAUBER BMW,4.0,2009
STR FERRARI,4.0,2009
WILLIAMS TOYOTA,3.5,2009
FERRARI,3.0,2009
FORCE INDIA MERCEDES,0.0,2009
SAUBER BMW,30.0,2008
FERRARI,29.0,2008
MCLAREN MERCEDES,28.0,2008
