,safetyId,raceId,grand_prix,cause,deployed_lap,called_in_lap,number_full_laps,year
0,1,1095,São Paulo Grand Prix,Accident (Ricciardo and Magnussen),1,6,5,2022
1,2,1078,Miami Grand Prix,Accident,42,46,3,2022
2,3,1077,Emilia Romagna Grand Prix,Accident (Sainz),1,4,2,2022
3,4,1077,Emilia Romagna Grand Prix,Accident (Zhou),1,4,2,2022
4,5,1076,Australian Grand Prix,Accident (Vettel),23,26,2,2022
5,6,1076,Australian Grand Prix,Beached car (Sainz),3,6,2,2022
6,7,1075,Saudi Arabian Grand Prix,Accident,16,20,3,2022
7,8,1074,Bahrain Grand Prix,Stranded Car,46,50,3,2022
8,9,1061,British Grand Prix,Accident,1,4 (After red flag),2,2021
9,10,1052,Bahrain Grand Prix,Accident,1,3,1,2021
10,11,1053,Emilia Romagna Grand Prix,Accident,2,6,3,2021
11,12,1053,Emilia Romagna Grand Prix,Accident,32,34 (After red flag),1,2021
12,13,1054,Portuguese Grand Prix,Accident,2,6,3,2021
13,14,1055,Spanish Grand Prix,Stranded car,8,10,1,2021
14,15,1057,Azerbaijan Grand Prix,Accident,31,35,3,2021
15,16,1057,Azerbaijan Grand Prix,Accident,47,49 (After red flag),1,2021
16,17,1060,Austrian Grand Prix,Stranded car,1,3,1,2021
17,18,1063,Belgian Grand Prix,Rain,1 (Race started behind SC),NA (Red flag),2,2021
18,19,1065,Italian Grand Prix,Accident,26,30,3,2021
19,20,1070,Mexico City Grand Prix,Accident,1,4,2,2021
20,21,1071,São Paulo Grand Prix,Debris,6,9,2,2021
21,22,1072,Saudi Arabian Grand Prix,Accident,10,14 (After red flag),3,2021
22,23,1073,Abu Dhabi Grand Prix,Accident,53,57,3,2021
23,24,1062,Hungarian Grand Prix,Accident,1,3 (After red flag),1,2021
24,25,1039,Tuscan Grand Prix,Accident,1,6,4,2020
25,26,1034,British Grand Prix,Accident,2,5,2,2020
26,27,1038,Italian Grand Prix,Stranded car,20,23,2,2020
27,28,1037,Belgian Grand Prix,Two accidents,11,14,2,2020
28,29,1034,British Grand Prix,Accident,13,18,4,2020
29,30,1031,Austrian Grand Prix,Stranded car,26,30,3,2020
30,31,1032,Styrian Grand Prix,Debris from accident,1,3,1,2020
31,32,1031,Austrian Grand Prix,Stranded car,55,60,4,2020
32,33,1031,Austrian Grand Prix,Stranded car,51,54,2,2020
33,34,1038,Italian Grand Prix,Accident,25,28 (After red flag),2,2020
34,35,1039,Tuscan Grand Prix,Accident,44,46 (After red flag),1,2020
35,36,1039,Tuscan Grand Prix,Accident,7,9 (After red flag),1,2020
36,37,1045,Bahrain Grand Prix,Accident,3,8,4,2020
37,38,1047,Abu Dhabi Grand Prix,Stranded car,11,13,1,2020
38,39,1046,Sakhir Grand Prix,Accident,1,6,4,2020
39,40,1045,Bahrain Grand Prix,Stranded car,55,NA (Race finished behind SC),2,2020
