Team,Points,constructorRef,Year
FERRARI,157.0,ferrari,2022
RED BULL RACING RBPT,151.0,red_bull,2022
MERCEDES,95.0,mercedes,2022
MCLAREN MERCEDES,46.0,mclaren,2022
ALFA ROMEO FERRARI,31.0,alfa,2022
ALPINE RENAULT,26.0,alpine,2022
ALPHATAURI RBPT,16.0,alphatauri,2022
HAAS FERRARI,15.0,haas,2022
ASTON MARTIN ARAMCO MERCEDES,6.0,aston_martin,2022
WILLIAMS MERCEDES,3.0,williams,2022
MERCEDES,101.0,mercedes,2021
RED BULL RACING HONDA,83.0,red_bull,2021
MCLAREN MERCEDES,53.0,mclaren,2021
FERRARI,42.0,ferrari,2021
WILLIAMS MERCEDES,23.0,williams,2021
ALPINE RENAULT,13.0,alpine,2021
ALPHATAURI HONDA,9.0,alphatauri,2021
ASTON MARTIN MERCEDES,5.0,aston_martin,2021
ALFA ROMEO RACING FERRARI,0.0,alfa,2021
HAAS FERRARI,0.0,haas,2021
MERCEDES,180.0,mercedes,2020
RED BULL RACING HONDA,113.0,red_bull,2020
FERRARI,55.0,ferrari,2020
MCLAREN RENAULT,53.0,mclaren,2020
RACING POINT BWT MERCEDES,41.0,racing_point,2020
RENAULT,36.0,renault,2020
ALPHATAURI HONDA,14.0,alphatauri,2020
ALFA ROMEO RACING FERRARI,2.0,alfa,2020
HAAS FERRARI,1.0,haas,2020
WILLIAMS MERCEDES,0.0,williams,2020
MERCEDES,173.0,mercedes,2019
FERRARI,99.0,ferrari,2019
RED BULL RACING HONDA,59.0,red_bull,2019
MCLAREN RENAULT,18.0,mclaren,2019
RACING POINT BWT MERCEDES,17.0,racing_point,2019
ALFA ROMEO RACING FERRARI,13.0,alfa,2019
RENAULT,12.0,renault,2019
HAAS FERRARI,8.0,haas,2019
SCUDERIA TORO ROSSO HONDA,4.0,toro_rosso,2019
WILLIAMS MERCEDES,0.0,williams,2019
FERRARI,114.0,ferrari,2018
MERCEDES,110.0,mercedes,2018
RED BULL RACING TAG HEUER,55.0,red_bull,2018
RENAULT,35.0,renault,2018
MCLAREN RENAULT,34.0,mclaren,2018
SCUDERIA TORO ROSSO HONDA,13.0,toro_rosso,2018
HAAS FERRARI,11.0,haas,2018
SAUBER FERRARI,10.0,sauber,2018
WILLIAMS MERCEDES,4.0,williams,2018
FORCE INDIA MERCEDES,0.0,force_india,2018
MERCEDES,136.0,mercedes,2017
FERRARI,135.0,ferrari,2017
RED BULL RACING TAG HEUER,57.0,red_bull,2017
FORCE INDIA MERCEDES,31.0,force_india,2017
WILLIAMS MERCEDES,18.0,williams,2017
TORO ROSSO,13.0,toro_rosso,2017
HAAS FERRARI,8.0,haas,2017
RENAULT,6.0,renault,2017
MCLAREN HONDA,0.0,mclaren,2017
SAUBER FERRARI,0.0,sauber,2017
MERCEDES,157.0,mercedes,2016
FERRARI,76.0,ferrari,2016
RED BULL RACING TAG HEUER,57.0,red_bull,2016
WILLIAMS MERCEDES,51.0,williams,2016
HAAS FERRARI,22.0,haas,2016
TORO ROSSO FERRARI,17.0,toro_rosso,2016
MCLAREN HONDA,10.0,mclaren,2016
FORCE INDIA MERCEDES,8.0,force_india,2016
RENAULT,6.0,renault,2016
SAUBER FERRARI,0.0,sauber,2016
MRT MERCEDES,0.0,manor,2016
MERCEDES,159.0,mercedes,2015
FERRARI,107.0,ferrari,2015
WILLIAMS MERCEDES,61.0,williams,2015
RED BULL RACING RENAULT,23.0,red_bull,2015
SAUBER FERRARI,19.0,sauber,2015
FORCE INDIA MERCEDES,13.0,force_india,2015
LOTUS MERCEDES,12.0,lotus_f1,2015
STR RENAULT,12.0,toro_rosso,2015
MCLAREN HONDA,0.0,mclaren,2015
