Driver,Nationality,Team,Points,driverRef,Year
Charles Leclerc,MON,FERRARI,104.0,leclerc,2022
Max Verstappen,NED,RED BULL RACING RBPT,85.0,max_verstappen,2022
Sergio Perez,MEX,RED BULL RACING RBPT,66.0,perez,2022
George Russell,GBR,MERCEDES,59.0,russell,2022
Carlos Sainz,ESP,FERRARI,53.0,sainz,2022
Lewis Hamilton,GBR,MERCEDES,36.0,hamilton,2022
Lando Norris,GBR,MCLAREN MERCEDES,35.0,norris,2022
Valtteri Bottas,FIN,ALFA ROMEO FERRARI,30.0,bottas,2022
Esteban Ocon,FRA,ALPINE RENAULT,24.0,ocon,2022
Kevin Magnussen,DEN,HAAS FERRARI,15.0,kevin_magnussen,2022
Daniel Ricciardo,AUS,MCLAREN MERCEDES,11.0,ricciardo,2022
Yuki Tsunoda,JPN,ALPHATAURI RBPT,10.0,tsunoda,2022
Pierre Gasly,FRA,ALPHATAURI RBPT,6.0,gasly,2022
Sebastian Vettel,GER,ASTON MARTIN ARAMCO MERCEDES,4.0,vettel,2022
Alexander Albon,THA,WILLIAMS MERCEDES,3.0,albon,2022
Fernando Alonso,ESP,ALPINE RENAULT,2.0,alonso,2022
Lance Stroll,CAN,ASTON MARTIN ARAMCO MERCEDES,2.0,stroll,2022
Zhou Guanyu,CHN,ALFA ROMEO FERRARI,1.0,zhou,2022
Mick Schumacher,GER,HAAS FERRARI,0.0,mick_schumacher,2022
Nicholas Latifi,CAN,WILLIAMS MERCEDES,0.0,latifi,2022
Nico Hulkenberg,GER,ASTON MARTIN ARAMCO MERCEDES,0.0,hulkenberg,2022
Lewis Hamilton,GBR,MERCEDES,69.0,hamilton,2021
Max Verstappen,NED,RED BULL RACING HONDA,61.0,max_verstappen,2021
Lando Norris,GBR,MCLAREN MERCEDES,37.0,norris,2021
Valtteri Bottas,FIN,MERCEDES,32.0,bottas,2021
Charles Leclerc,MON,FERRARI,28.0,leclerc,2021
Sergio Perez,MEX,RED BULL RACING HONDA,22.0,perez,2021
Daniel Ricciardo,AUS,MCLAREN MERCEDES,16.0,ricciardo,2021
Carlos Sainz,ESP,FERRARI,14.0,sainz,2021
Esteban Ocon,FRA,ALPINE RENAULT,8.0,ocon,2021
Pierre Gasly,FRA,ALPHATAURI HONDA,7.0,gasly,2021
Fernando Alonso,ESP,ALPINE RENAULT,5.0,alonso,2021
Lance Stroll,CAN,ASTON MARTIN MERCEDES,5.0,stroll,2021
Yuki Tsunoda,JPN,ALPHATAURI HONDA,2.0,tsunoda,2021
Sebastian Vettel,GER,ASTON MARTIN MERCEDES,0.0,vettel,2021
George Russell,GBR,WILLIAMS MERCEDES,0.0,russell,2021
Kimi Räikkönen,FIN,ALFA ROMEO RACING FERRARI,0.0,raikkonen,2021
Nicholas Latifi,CAN,WILLIAMS MERCEDES,0.0,latifi,2021
Antonio Giovinazzi,ITA,ALFA ROMEO RACING FERRARI,0.0,giovinazzi,2021
Mick Schumacher,GER,HAAS FERRARI,0.0,mick_schumacher,2021
Robert Kubica,POL,ALFA ROMEO RACING FERRARI,0.0,kubica,2021
Nikita Mazepin,RAF,HAAS FERRARI,0.0,mazepin,2021
Lewis Hamilton,GBR,MERCEDES,107.0,hamilton,2020
Max Verstappen,NED,RED BULL RACING HONDA,77.0,max_verstappen,2020
Valtteri Bottas,FIN,MERCEDES,73.0,bottas,2020
Charles Leclerc,MON,FERRARI,45.0,leclerc,2020
Lando Norris,GBR,MCLAREN RENAULT,38.0,norris,2020
Alexander Albon,THA,RED BULL RACING HONDA,36.0,albon,2020
Lance Stroll,CAN,RACING POINT BWT MERCEDES,28.0,stroll,2020
Sergio Perez,MEX,RACING POINT BWT MERCEDES,22.0,perez,2020
Daniel Ricciardo,AUS,RENAULT,20.0,ricciardo,2020
Esteban Ocon,FRA,RENAULT,16.0,ocon,2020
Carlos Sainz,ESP,MCLAREN RENAULT,15.0,sainz,2020
Pierre Gasly,FRA,ALPHATAURI HONDA,12.0,gasly,2020
Sebastian Vettel,GER,FERRARI,10.0,vettel,2020
Nico Hulkenberg,GER,RACING POINT BWT MERCEDES,6.0,hulkenberg,2020
Daniil Kvyat,RUS,ALPHATAURI HONDA,2.0,kvyat,2020
Antonio Giovinazzi,ITA,ALFA ROMEO RACING FERRARI,2.0,giovinazzi,2020
Kevin Magnussen,DEN,HAAS FERRARI,1.0,kevin_magnussen,2020
Kimi Räikkönen,FIN,ALFA ROMEO RACING FERRARI,0.0,raikkonen,2020
George Russell,GBR,WILLIAMS MERCEDES,0.0,russell,2020
Romain Grosjean,FRA,HAAS FERRARI,0.0,grosjean,2020
Nicholas Latifi,CAN,WILLIAMS MERCEDES,0.0,latifi,2020
Valtteri Bottas,FIN,MERCEDES,87.0,bottas,2019
Lewis Hamilton,GBR,MERCEDES,86.0,hamilton,2019
Sebastian Vettel,GER,FERRARI,52.0,vettel,2019
Max Verstappen,NED,RED BULL RACING HONDA,51.0,max_verstappen,2019
Charles Leclerc,MON,FERRARI,47.0,leclerc,2019
Sergio Perez,MEX,RACING POINT BWT MERCEDES,13.0,perez,2019
Kimi Räikkönen,FIN,ALFA ROMEO RACING FERRARI,13.0,raikkonen,2019
Pierre Gasly,FRA,SCUDERIA TORO ROSSO HONDA,13.0,gasly,2019
Lando Norris,GBR,MCLAREN RENAULT,12.0,norris,2019
Kevin Magnussen,DEN,HAAS FERRARI,8.0,kevin_magnussen,2019
