Grand Prix,Cause,Deployed (lap),Called in (lap),Number of full laps,Year
São Paulo Grand Prix,Accident (Ricciardo and Magnussen),1,6,5,2022
Miami Grand Prix,Accident,42,46,3,2022
Emilia Romagna Grand Prix,Accident (Sainz),1,4,2,2022
Emilia Romagna Sprint,Accident (Zhou),1,4,2,2022
Australian Grand Prix,Accident (Vettel),23,26,2,2022
Australian Grand Prix,Beached car (Sainz),3,6,2,2022
Saudi Arabian Grand Prix,Accident,16,20,3,2022
Bahrain Grand Prix,Stranded Car,46,50,3,2022
British Grand Prix,Accident,1,4 (After red flag),2,2021
Bahrain Grand Prix,Accident,1,3,1,2021
Emilia-Romagna Grand Prix,Accident,2,6,3,2021
Emilia-Romagna Grand Prix,Accident,32,34 (After red flag),1,2021
Portuguese Grand Prix,Accident,2,6,3,2021
Spanish Grand Prix,Stranded car,8,10,1,2021
Azerbaijan Grand Prix,Accident,31,35,3,2021
Azerbaijan Grand Prix,Accident,47,49 (After red flag),1,2021
Austrian Grand Prix,Stranded car,1,3,1,2021
Belgian Grand Prix,Rain,1 (Race started behind SC),NA (Red flag),2,2021
Italian Grand Prix,Accident,26,30,3,2021
Mexico City Grand Prix,Accident,1,4,2,2021
São Paulo Grand Prix,Debris,6,9,2,2021
Saudi Arabian Grand Prix,Accident,10,14 (After red flag),3,2021
Abu Dhabi Grand Prix,Accident,53,57,3,2021
Hungarian Grand Prix,Accident,1,3 (After red flag),1,2021
Tuscan Grand Prix,Accident,1,6,4,2020
British Grand Prix,Accident,2,5,2,2020
Italian Grand Prix,Stranded car,20,23,2,2020
Belgian Grand Prix,Two accidents,11,14,2,2020
British Grand Prix,Accident,13,18,4,2020
Austrian Grand Prix,Stranded car,26,30,3,2020
Styrian Grand Prix,Debris from accident,1,3,1,2020
Austrian Grand Prix,Stranded car,55,60,4,2020
Austrian Grand Prix,Stranded car,51,54,2,2020
Italian Grand Prix,Accident,25,28 (After red flag),2,2020
Tuscan Grand Prix,Accident,44,46 (After red flag),1,2020
Tuscan Grand Prix,Accident,7,9 (After red flag),1,2020
Bahrain Grand Prix,Accident,3,8,4,2020
Abu Dhabi Grand Prix,Stranded car,11,13,1,2020
Sakhir Grand Prix,Accident,1,6,4,2020
Bahrain Grand Prix,Stranded car,55,NA (Race finished behind SC),2,2020
Sakhir Grand Prix,Accident,62,68,5,2020
Emilia-Romagna Grand Prix,Accident,51,57,5,2020
Eifel Grand Prix,Stranded car,45,49,3,2020
Russian Grand Prix,Two accidents,1,5,3,2020
German Grand Prix,Accident,57,59,1,2019
Bahrain Grand Prix,Two stranded cars,55,NA (Race finished behind SC),2,2019
Spanish Grand Prix,Accident,46,52,5,2019
Monaco Grand Prix,Debris from accident,11,14,2,2019
British Grand Prix,Accident,20,23,2,2019
German Grand Prix,Accident,3,4,0,2019
German Grand Prix,Accident,29,33,3,2019
German Grand Prix,Accident,41,45,3,2019
Singapore Grand Prix,Debris from accident,36,40,3,2019
Belgian Grand Prix,Accident,1,4,2,2019
Singapore Grand Prix,Stranded car,44,47,2,2019
Singapore Grand Prix,Accident,50,51,0,2019
Russian Grand Prix,Accident,1,3,1,2019
Russian Grand Prix,Accident,29,32,2,2019
Brazilian Grand Prix,Stranded car,54,59,4,2019
Brazilian Grand Prix,Accident,66,69,2,2019
British Grand Prix,Accident,33,37,3,2018
Chinese Grand Prix,Debris from accident,31,35,3,2018
Azerbaijan Grand Prix,Two accidents,1,4,2,2018
Azerbaijan Grand Prix,Two accidents,40,47,6,2018
Spanish Grand Prix,Accident,1,6,4,2018
Canadian Grand Prix,Accident,1,4,2,2018
French Grand Prix,Accident,1,5,3,2018
Australian Grand Prix,Stranded car,28,31,2,2018
British Grand Prix,Accident,39,41,1,2018
