,year,round,race,date,circuit,location
0,2009,1,Australian Grand Prix,2009-03-29,Albert Park Grand Prix Circuit,"Melbourne, Australia"
1,2009,2,Malaysian Grand Prix,2009-04-05,Sepang International Circuit,"Kuala Lumpur, Malaysia"
2,2009,3,Chinese Grand Prix,2009-04-19,Shanghai International Circuit,"Shanghai, China"
3,2009,4,Bahrain Grand Prix,2009-04-26,Bahrain International Circuit,"Sakhir, Bahrain"
4,2009,5,Spanish Grand Prix,2009-05-10,Circuit de Barcelona-Catalunya,"Montmeló, Spain"
5,2009,6,Monaco Grand Prix,2009-05-24,Circuit de Monaco,"Monte-Carlo, Monaco"
6,2009,7,Turkish Grand Prix,2009-06-07,Istanbul Park,"Istanbul, Turkey"
7,2009,8,British Grand Prix,2009-06-21,Silverstone Circuit,"Silverstone, UK"
8,2009,9,German Grand Prix,2009-07-12,Nürburgring,"Nürburg, Germany"
9,2009,10,Hungarian Grand Prix,2009-07-26,Hungaroring,"Budapest, Hungary"
10,2009,11,European Grand Prix,2009-08-23,Valencia Street Circuit,"Valencia, Spain"
11,2009,12,Belgian Grand Prix,2009-08-30,Circuit de Spa-Francorchamps,"Spa, Belgium"
12,2009,13,Italian Grand Prix,2009-09-13,Autodromo Nazionale di Monza,"Monza, Italy"
13,2009,14,Singapore Grand Prix,2009-09-27,Marina Bay Street Circuit,"Marina Bay, Singapore"
14,2009,15,Japanese Grand Prix,2009-10-04,Suzuka Circuit,"Suzuka, Japan"
15,2009,16,Brazilian Grand Prix,2009-10-18,Autódromo José Carlos Pace,"São Paulo, Brazil"
16,2009,17,Abu Dhabi Grand Prix,2009-11-01,Yas Marina Circuit,"Abu Dhabi, UAE"
17,2008,1,Australian Grand Prix,2008-03-16,Albert Park Grand Prix Circuit,"Melbourne, Australia"
18,2008,2,Malaysian Grand Prix,2008-03-23,Sepang International Circuit,"Kuala Lumpur, Malaysia"
19,2008,3,Bahrain Grand Prix,2008-04-06,Bahrain International Circuit,"Sakhir, Bahrain"
20,2008,4,Spanish Grand Prix,2008-04-27,Circuit de Barcelona-Catalunya,"Montmeló, Spain"
21,2008,5,Turkish Grand Prix,2008-05-11,Istanbul Park,"Istanbul, Turkey"
22,2008,6,Monaco Grand Prix,2008-05-25,Circuit de Monaco,"Monte-Carlo, Monaco"
23,2008,7,Canadian Grand Prix,2008-06-08,Circuit Gilles Villeneuve,"Montreal, Canada"
24,2008,8,French Grand Prix,2008-06-22,Circuit de Nevers Magny-Cours,"Magny Cours, France"
25,2008,9,British Grand Prix,2008-07-06,Silverstone Circuit,"Silverstone, UK"
26,2008,10,German Grand Prix,2008-07-20,Hockenheimring,"Hockenheim, Germany"
27,2008,11,Hungarian Grand Prix,2008-08-03,Hungaroring,"Budapest, Hungary"
28,2008,12,European Grand Prix,2008-08-24,Valencia Street Circuit,"Valencia, Spain"
29,2008,13,Belgian Grand Prix,2008-09-07,Circuit de Spa-Francorchamps,"Spa, Belgium"
30,2008,14,Italian Grand Prix,2008-09-14,Autodromo Nazionale di Monza,"Monza, Italy"
31,2008,15,Singapore Grand Prix,2008-09-28,Marina Bay Street Circuit,"Marina Bay, Singapore"
32,2008,16,Japanese Grand Prix,2008-10-12,Fuji Speedway,"Oyama, Japan"
33,2008,17,Chinese Grand Prix,2008-10-19,Shanghai International Circuit,"Shanghai, China"
34,2008,18,Brazilian Grand Prix,2008-11-02,Autódromo José Carlos Pace,"São Paulo, Brazil"
35,2007,1,Australian Grand Prix,2007-03-18,Albert Park Grand Prix Circuit,"Melbourne, Australia"
36,2007,2,Malaysian Grand Prix,2007-04-08,Sepang International Circuit,"Kuala Lumpur, Malaysia"
37,2007,3,Bahrain Grand Prix,2007-04-15,Bahrain International Circuit,"Sakhir, Bahrain"
38,2007,4,Spanish Grand Prix,2007-05-13,Circuit de Barcelona-Catalunya,"Montmeló, Spain"
39,2007,5,Monaco Grand Prix,2007-05-27,Circuit de Monaco,"Monte-Carlo, Monaco"
40,2007,6,Canadian Grand Prix,2007-06-10,Circuit Gilles Villeneuve,"Montreal, Canada"
41,2007,7,United States Grand Prix,2007-06-17,Indianapolis Motor Speedway,"Indianapolis, USA"
42,2007,8,French Grand Prix,2007-07-01,Circuit de Nevers Magny-Cours,"Magny Cours, France"
43,2007,9,British Grand Prix,2007-07-08,Silverstone Circuit,"Silverstone, UK"
